wavelength,strength,ID
1045.3937,44.68,UI
1045.505,38.89,UI
1045.5281,140.18,UI
1045.5476,28.94,UI
1045.5657,71.94,?
1045.7837,59.37,UI
1045.9047,50.5,UI
1046.0361,54.58,UI
1046.2951,39.04,UI
1046.3363,76.94,UI
1046.3956,114.88,UI
1046.4204,90.49,UI
1046.5864,261.53,UI
1046.7063,112.52,UI
1046.7831,117.36,UI
1047.0124,140.08,UI
1047.1103,28.5,UI
1047.1513,98.28,UI
1047.5575,39.98,UI
1047.9136,43.41,UI
1047.9515,55.07,UI
1047.9821,282.32,UI
1048.1145,70.02,UI
1048.2881,74.64,UI
1048.3729,41.28,UI
1048.432,266.67,UI
1048.7208,64.55,UI
1048.8109,61.36,UI
1048.9768,361.19,UI
1049.3068,40.8,UI
1049.5012,223.71,UI
1049.6443,54.31,UI
1050.0585,87.12,UI
1050.102,54.2,UI
1050.2549,66.9,UI
1050.4167,97.93,UI
1050.8599,77.78,UI
1050.9129,50.59,UI
1051.1948,108.09,UI
1051.2451,44.66,UI
1051.2693,37.08,UI
1051.3862,104.86,UI
1051.8039,84.89,UI
1052.0399,2049.65,UI
1052.1117,71.11,UI
1052.1503,69.01,UI
1052.2276,107.66,UI
1052.3143,57.32,UI
1052.3828,47.4,UI
1052.6052,714.81,UI
1052.7572,68.89,UI
1052.7796,109.65,UI
1052.8877,418.12,UI
1052.9138,105.97,UI
1053.1825,77.71,UI
1053.2173,110.32,UI
1053.3508,74.56,UI
1053.4116,48.41,UI
1053.7712,168.74,UI
1053.8648,50.12,UI
1054.0698,54.72,UI
1054.1726,577.66,UI
1054.5229,52.54,UI
1054.7592,58.65,UI
1054.811,557.21,UI
1055.1293,71.03,UI
1055.1934,56.95,UI
1055.3389,345.83,UI
1055.3776,47.13,UI
1055.4758,455.77,UI
1055.6332,48.26,UI
1055.7822,20682.76,UI
1056.2725,87.06,UI
1056.5305,4791.54,Ne
1056.7254,45.1,UI
1056.8726,86.78,UI
1056.9249,36.98,UI
1057.0899,174.42,UI
1057.1166,37.98,UI
1057.2464,100.63,UI
1057.4996,84.11,UI
1057.8677,54.48,UI
1057.9356,309.66,UI
1058.1713,154.86,UI
1058.2895,58.72,UI
1058.3637,102.2,UI
1058.5319,96.2,UI
1058.698,263.86,UI
1058.8599,42.28,UI
1058.9997,58.8,UI
1059.0385,85.19,UI
1059.2772,213.59,UI
1059.3292,83.75,UI
1059.5231,48.37,UI
1059.6173,182.89,UI
1060.1162,1062.7,UI
1060.2843,124.5,UII
1060.5646,107.1,UI
1060.6729,117.0,UI
1060.8922,485.31,UI
1060.9314,198.83,UI
1061.2974,206.29,UI
1061.4641,56.2,UI
1061.6728,216.25,UI
1062.2416,428.62,UI
1062.3576,794.8,Ne
1062.6456,150.23,UI
1062.6685,68.82,UI
1063.0216,360.2,UI
1063.1251,210.66,UI
1063.4371,1031.79,UI
1063.5319,48.87,UI
1063.5659,47.83,UI
1063.6826,64.6,UI
1063.9854,403.17,UI
1064.6608,48.47,UI
1064.8687,92.14,UI
1064.8951,434.03,UI
1064.9389,211.47,UI
1065.038,4441.74,UI
1065.7772,533.53,UI
1065.8804,2819.64,UI
1066.084,64.19,UI
1067.1301,117.18,UI
1067.7796,53.54,UI
1068.1786,70.0,UI
1068.5031,93.5,UI
1069.0522,52.6,UI
1069.6939,143.67,UI
1069.9475,80.22,UI
1070.2021,1799.49,UI
1071.0852,101.67,UI
1071.1435,58.83,UI
1071.6504,136.13,UI
1071.6931,297.15,UI
1071.7444,113.23,UI
1071.8797,222.73,UI
1071.9288,216.97,UI
1072.7938,66.4,UI
1073.2394,202.01,UI
1074.0838,66.28,UI
1074.1321,91.17,UI
1074.2586,147.46,UI
1074.3423,97.39,UI
1075.0912,775.35,UI
1075.2494,146.01,UI
1075.6805,396.4,UI
1075.905,131.01,UI
1076.0926,249.29,UI
1076.6022,1450.67,UI
1076.8606,467.21,UI
1077.7374,70.49,UI
1077.8828,504.74,UI
1077.9811,92.12,UI
1078.008,178.85,UI
1078.2244,85.06,UI
1078.5439,75.93,UI
1079.0285,71.43,UI
1079.9957,112.5,UI
1080.1003,2672.95,Ne
1080.274,4980.37,UI
1080.544,64.12,UI
1081.0465,67.3,UI
1081.0663,215.88,UI
1081.4204,279.46,UI
1081.8693,267.1,UI
1082.6898,3646.72,UI
1082.7502,883.48,UI
1083.2779,215.76,UI
1083.3781,125.88,UI
1083.6241,69.17,UI
1083.893,683.3,UI
1084.1513,148.11,UI
1084.2647,60.5,UI
1084.4509,273.39,UI
1084.5949,99.77,UI
1084.7174,187.4,UI
1084.7449,8789.83,Ne
1084.7855,229.76,UI
1086.1762,297.96,UI
1086.4606,1243.85,UI
1086.5449,228.31,UI
1087.0483,165.37,UI
1087.2038,152.73,UI
1088.4136,94.45,UI
1088.5999,232.54,UI
1088.6191,281.22,UI
1088.6431,92.0,UI
1088.9401,308.31,UI
1089.0047,751.55,UI
1089.311,912.65,UI
1089.4832,106.74,UI
1090.0683,133.44,UI
1090.3326,284.42,UI
1091.0168,311.86,UI
1092.2035,110.65,UI
1092.5097,283.43,UI
1092.9768,579.25,UI
1093.8891,1628.03,UI
1094.7444,124.4,UI
1095.7806,225.94,UI
1096.1981,136.11,UI
1096.9732,95.93,?
1097.5296,1408.25,UI
1098.7693,339.86,UI
1100.089,1666.03,UI
1100.8387,103.1,UI
1101.2735,148.2,UI
1101.3873,331.8,UI
1102.1235,205.84,UI
1102.5842,488.28,UI
1103.0766,1354.12,UI
1103.7084,267.2,UI
1103.8969,195.61,UI
1104.2868,94.88,UI
1104.873,122.18,UI
1104.9159,142.11,UI
1105.3183,536.48,UI
1105.5326,186.36,UI
1105.6341,855.79,UI
1108.7431,136.92,UI
1108.8922,2005.49,UI
1109.0943,166.02,UI
1109.8814,2574.3,UI
1110.2658,133.61,UI
1110.393,190.88,UI
1111.0447,276.29,UI
1111.3562,83.01,UI
1111.6694,589.94,UI
1111.9431,120.74,UI
1112.2681,179.14,UI
1112.5619,81.41,UI
1112.5783,107.7,UI
1112.5888,76.96,UI
1113.1007,1027.89,UI
1113.5869,98.4,UI
1113.6758,119.16,UI
1114.0043,142.04,UI
1114.0233,141.87,UI
1114.2564,142.97,UI
1114.5666,103.47,UI
1115.3699,52.79,UI
1115.3783,62.62,UII
1115.5542,46.14,UI
1115.6727,230.78,UI
1115.8577,265.76,UI
1116.36,53.58,UI
1116.6945,118.47,UI
1117.0035,144.24,UI
1117.0894,8036.82,UI
1117.2451,175.29,UI
1117.2671,84.66,UI
1117.4365,86.66,?
1117.7818,45.98,UI
1117.9594,74.46,UI
1118.0327,144.21,UII
1118.0507,38.76,UI
1118.6751,148.26,UI
1119.012,229.52,UI
1119.0612,899.43,UI
1119.5429,32.24,UI
1119.5879,35.53,UI
1119.8043,64.61,UI
1119.9552,29.13,UI
1120.2119,79.34,UI
1121.2368,1001.2,UI
1121.3797,69.2,UI
1121.7275,85.21,UI
1121.7335,54.08,UI
1122.0111,93.9,UI
1122.1228,28.04,UI
1122.5621,85.48,UI
1122.796,115.9,UI
1122.8372,128.34,UI
1123.006,19.61,UI
1123.1672,49.62,UI
1123.8574,271.02,UI
1124.0161,46.51,UI
1124.1222,65.0,UI
1124.346,20.19,UI
1124.6981,234.27,UI
1125.2582,127.71,?
1125.614,32.23,UI
1125.6992,47.19,UI
1125.9557,168.29,UII
1126.0523,151.44,UI
1126.2573,20.58,UI
1126.5356,935.67,UI
1126.723,630.49,UI
1127.0941,28.06,UI
1127.1954,82.52,?
1127.2109,21.45,UI
1127.2375,49.24,UI
1127.4924,187.16,UI
1127.5906,24.0,UI
1127.7124,27.4,UI
1128.1144,32.51,UI
1128.1689,24.84,UI
1128.2997,15.29,UI
1128.4764,60.35,UI
1128.5131,83.79,UI
1128.6279,106.69,UI
1128.7685,130.07,UI
1128.7785,21.36,UI
1128.9532,60.43,UI
1129.0508,16.79,?
1129.0604,17.48,UI
1129.1288,77.81,?
1129.3259,134.95,UI
1129.3466,89.78,UI
1129.4026,202.3,UI
1129.6614,34.0,UI
1129.7221,6106.73,UI
1129.7743,100.63,UI
1129.8864,55.4,UI
1130.1366,274.29,UI
1130.1452,146.09,UI
1130.2568,70.4,UI
1130.4306,28.74,UII
1130.548,28.47,UI
1130.6194,159.86,UII
1131.339,306.51,UI
1131.449,39.8,UI
1131.4717,49.43,UI
1131.6891,20.45,?
