1555.748973  59.000000  	 ThI 
1555.592416  221.000000 	 ThI 
1554.690812  74.000000  	 ThI 
1552.739287  45.000000  	 ThI 
1552.067275  920.000000 	 ThI 
1547.753968  69.000000  	 ThI 
1547.708957  142.000000 	 ThI 
1545.095370  1070.000000 	 ArI 
1544.432817  500.000000 	 ThI 
1544.376524  78.000000  	 ThI 
1543.399634  4600.000000 	 ThI 
1540.685285  17300.000000 	 ArI 
1539.991840  100.000000 	 ThI 
1535.988255  730.000000 	 ThI 
1535.732186  9000.000000 	 ArI 
1535.344124  17000.000000 	 ArI 
1535.271504  410.000000 	 ArI 
1533.353527  21400.000000 	 ArI 
1532.012074  91.000000  	 ThII
1531.147222  1660.000000 	 ThI 
1530.606534  81000.000000 	 ArI 
1529.667831  90.000000  	 ThI 
1529.538680  87.000000  	 ThI 
1528.620842  51.000000  	 ThI 
1527.889950  320.000000 	 ArI 
1527.793824  100.000000 	 ArI 
1527.749990  124.000000 	 ThI 
1526.852013  67.000000  	 ThI 
1524.441647  268.000000 	 ThII
1524.345094  268.000000 	 ThI 
1523.419575  80.000000  	   ?   
1519.492475  163.000000 	 ThI 
1519.450316  41.000000  	 ThI 
1519.300587  320.000000 	 ThII
1518.187845  660.000000 	 ArI 
1517.683554  53000.000000 	 ArI 
1514.748248  86.000000  	 ThI 
1511.661067  134.000000 	 ThI 
1510.495185  88.000000  	 ThI 
1510.345322  340.000000 	 ThI 
1510.013625  91.000000  	  ?    
1509.948872  55.000000  	 ThI 
1509.493362  71.000000  	 ThI 
1506.983459  76.000000  	 ThI 
1505.667951  250.000000 	 ArI 
1505.605837  81.000000  	 ThII
1505.377713  81.000000  	 ThI 
1505.061793  208000.000000 	 ArI 
1504.951841  184.000000 	 ThI 
1503.527584  1360.000000 	 ArI 
1503.462201  4100.000000 	 ArI 
1502.590361  113.000000 	 ThI 
1501.412679  134.000000 	 ThI 
1499.875533  144.000000 	 ThI 
1499.865252  82.000000  	 ThI 
1499.269616  265.000000 	 ThII
1498.898437  410.000000 	 ThI 
1498.141593  244.000000 	 ThI 
1498.093519  42.000000  	  ?    
1497.866230  270.000000 	 ArI 
1497.484824  55.000000  	 ThI 
1497.257765  54.000000  	 ThI 
1497.104600  550.000000 	 ArI 
1495.138766  116.000000 	 ThI 
1494.806747  2010.000000 	 ThI 
1494.458429  380.000000 	 ThII
1493.311807  282.000000 	 ThI 
1493.256952  271.000000 	 ThI 
1491.511955  79.000000  	 ThI 
1491.506883  50.000000  	 ThI 
1491.451114  77.000000  	 ThI 
1490.220510  310.000000 	 ArI 
1488.057306  880.000000 	 ArI 
1483.753273  440.000000 	 ArI 
1483.426792  128.000000 	 ThI 
1483.404941  48.000000  	 ThI 
1481.307850  48.000000  	 ThI 
1481.050669  1160.000000 	 ThI 
1480.946454  200.000000 	 ThI 
1480.192157  128.000000 	 ThI 
1479.010399  3320.000000 	 ArI 
1478.942849  550.000000 	 ArI 
1478.792905  630.000000 	 ArI 
1478.126310  41.000000  	 ThI 
1477.605580  133.000000 	 ThI 
1476.877715  112.000000 	 ThI 
1476.065502  191.000000 	 ThI 
1474.621760  130.000000 	 ArI 
1474.535595  780.000000 	 ThI 
1474.316730  10700.000000 	 ArI 
1472.356514  700.000000 	 ArI 
1472.346347  87.000000  	 ThI 
1472.281435  950.000000 	 ThI 
1472.037846  105.000000 	 ThI 
1471.866183  54.000000  	  ?    
1470.677925  38.000000  	   ?   
1469.959158  179.000000 	 ThI 
1469.769142  1070.000000 	 ArI 
1469.702577  13500.000000 	 ArI 
1468.865774  140.000000 	 ArI 
1468.125750  940.000000 	 ThI 
1465.892153  3920.000000 	 ThI 
1465.547356  93.000000  	 ThI 
1465.435306  59000.000000 	 ArI 
1463.850545  1690.000000 	 ArI 
1463.841463  55000.000000 	 ArI 
1463.637353  2490.000000 	 ArI 
1463.563518  90.000000  	 ArI 
1463.269499  102.000000 	 ThI 
1463.187883  184.000000 	 ThII
1462.296772  1330.000000 	 ThI 
1460.814207  87.000000  	 ThI 
1460.754970  155.000000 	 ThII
1460.257877  450.000000 	 ArI 
1460.046366  30800.000000 	 ArI 
1459.972477  1950.000000 	 ArI 
1458.371670  184.000000 	 ThII
1458.144473  1670.000000 	 ArI 
1457.761329  118.000000 	 ThI 
1457.432931  138.000000 	 ThI 
1456.562587  70.000000  	 ThI 
1456.099828  82.000000  	 ThII
1455.212206  132.000000 	 ThI 
1454.992513  131.000000 	 ThI 
1453.738677  350.000000 	 ThI 
1452.390129  86.000000  	 ThI 
1450.720132  230.000000 	 ThII
1450.688312  63.000000  	 ThI 
1449.737534  89.000000  	 ThI 
1447.979127  244.000000 	 ThI 
1447.313749  62.000000  	 ThI 
1446.545396  32.000000  	 ThI 
1445.609506  135.000000 	 ThI 
1445.571013  460.000000 	 ThI 
1445.329404  114.000000 	 ThI 
1444.275156  217.000000 	 ThI 
1442.847783  5300.000000 	 ThI 
1442.733403  80.000000  	 ThI 
1441.648208  300.000000 	 ThI 
1440.238119  64.000000  	 ThI 
1437.834513  57.000000  	 ThI 
1436.863754  151.000000 	 ThI 
1436.761069  65.000000  	 ThI 
1436.286400  102.000000 	 ThI 
1436.176145  309.000000 	 ThI 
1434.718809  167.000000 	 ThII
1434.395175  43.000000  	 ThI 
1431.791302  293.000000 	 ThI 
1431.046874  65.000000  	 ThI 
1430.056522  85.000000  	 ThI 
1428.739285  51.000000  	 ThI 
1427.913528  120.000000 	 ThII
1426.313698  760.000000 	 ThI 
1426.076317  33500.000000 	 ArI 
1425.874895  150.000000 	 ArI 
1425.860702  780.000000 	 ThI 
1425.803939  2330.000000 	 ArI 
1425.309016  28700.000000 	 ArI 
1424.809991  91.000000  	 ThI 
1424.254858  81.000000  	 ThI 
1423.961131  168.000000 	 ThI 
1423.878488  43.000000  	 ThI 
1423.718542  71.000000  	 ArII
1423.521480  880.000000 	 ThI 
1419.619873  400.000000 	 ThI 
1419.492174  104.000000 	 ThI 
1419.135576  81.000000  	 ThI 
1417.858575  720.000000 	 ArI 
1417.254439  6300.000000 	 ThI 
1415.250545  160.000000 	 ThI 
1410.525448  209.000000 	 ThI 
1410.472766  63.000000  	 ThI 
1409.749403  270000.000000 	 ArI 
1409.409901  3020.000000 	 ThI 
1408.891151  500.000000 	 ArII
1408.366182  1100.000000 	 ThI 
1408.161277  51.000000  	 ArII
1407.718611  76.000000  	 ThI 
1407.459674  227.000000 	 ThII
1407.403873  380.000000 	  ?    
1407.302583  183.000000 	 ThI 
1406.745550  208.000000 	 ThI 
1406.582644  290.000000 	 ArI 
1406.506536  63.000000  	 ThI 
1405.799129  104.000000 	  ?    
1403.624273  56.000000  	 ThI 
1403.239192  350.000000 	 ThI 
1403.043865  770.000000 	 ThI 
1399.696255  62.000000  	 ThI 
1399.663381  1480.000000 	 ArI 
1397.990916  155.000000 	 ThI 
1397.974754  370.000000 	 ThI 
1397.615874  80.000000  	 ThI 
1397.419045  42.000000  	 ThI 
1396.859993  111.000000 	 ThI 
1395.032282  170.000000 	 ArI 
1394.297388  660.000000 	 ArII
1394.053987  1770.000000 	 ThI 
1393.403924  169.000000 	 ThI 
1391.436439  91000.000000 	 ArI 
1391.128064  17800.000000 	 ArI 
1390.829074  2930.000000 	 ThI 
1389.031365  640.000000 	 ThI 
1387.887307  440.000000 	 ThI 
1387.844228  42.000000  	  ?    
1387.078501  1820.000000 	 ArI 
1387.019245  1230.000000 	 ArI 
1385.882774  260.000000 	 ArII
1383.217937  11400.000000 	 ArI 
1383.210753  4900.000000 	 ArI 
1382.949484  100000.000000 	 ArI 
1381.936520  41.000000  	 ThI 
1381.525740  197.000000 	 ThII
1381.356639  52.000000  	 ThI 
1379.618732  870.000000 	 ThI 
1378.335396  84.000000  	 ThI 
1378.268887  210.000000 	 ThII
