X,Y,BRIGHTNESS
2432,67,919.4314575195312
2964,67,1133.1990966796875
3423,67,934.2788696289062
3565,67,1094.5771484375
1519,68,1673.7686767578125
2275,68,2983.85009765625
2852,68,2490.182861328125
3046,68,1700.529052734375
3769,68,512.8736572265625
246,69,912.6557006835938
367,69,3089.480712890625
3100,69,690.0477294921875
276,70,328.7040100097656
403,70,1716.73388671875
606,70,1953.0916748046875
1101,70,113.1655044555664
1341,70,1054.9144287109375
1555,70,776.6941528320312
2214,70,324.61224365234375
2925,70,918.46826171875
3102,70,2966.560302734375
3516,70,766.5863037109375
512,71,1138.9439697265625
1048,71,1806.6905517578125
1877,71,2189.015625
2191,71,184.1078643798828
2605,71,1118.62451171875
2889,71,818.6404418945312
3744,71,1673.7808837890625
59,72,1505.7630615234375
1813,72,4384.0888671875
2579,72,524.6398315429688
2638,72,1922.95458984375
2813,72,857.9639892578125
2980,72,451.82861328125
3341,72,573.6366577148438
3745,72,829.5892944335938
83,73,1089.404541015625
2608,73,140.46734619140625
821,74,174.5345001220703
1300,74,1085.9752197265625
2220,74,192.2931671142578
2441,74,4715.4150390625
2609,74,1003.5392456054688
2807,74,1330.7540283203125
3041,74,3318.916015625
3240,74,6104.59423828125
82,75,3278.224609375
260,75,878.2322387695312
612,75,1046.8822021484375
1599,75,1101.367431640625
1775,75,634.7174072265625
2221,75,2921.136962890625
3250,75,2742.009521484375
1309,76,1538.188720703125
2612,76,3430.25146484375
2083,77,2012.4775390625
2099,77,101.33155059814453
2843,77,2780.83984375
3811,77,2144.31494140625
575,78,2651.712158203125
1128,78,1540.162841796875
1798,78,1908.90283203125
2320,78,3581.53857421875
2358,78,250.2108612060547
2422,78,253.50416564941406
3615,78,1327.9837646484375
993,79,1362.240478515625
1128,79,1685.619140625
1532,79,711.0786743164062
1663,79,709.7327270507812
1975,79,463.48492431640625
1995,79,250.03500366210938
3860,79,1998.4591064453125
296,80,1557.905029296875
1698,80,1639.8079833984375
2383,80,286.2043151855469
2862,80,3366.747314453125
3856,80,2012.6072998046875
3877,80,859.6737670898438
3916,80,700.7598266601562
1460,81,2893.440673828125
2311,81,2365.8154296875
2383,81,331.47515869140625
2384,81,349.9673156738281
2661,81,931.2294311523438
2790,81,380.3948974609375
3624,81,962.142333984375
3831,81,522.9517822265625
1553,82,347.5708923339844
1611,82,5147.2294921875
2383,82,392.4491882324219
2384,82,397.2720031738281
2588,82,186.35800170898438
2633,82,625.486328125
3401,82,2843.69482421875
26,83,294.89605712890625
2383,83,100.63447570800781
2384,83,370.70892333984375
2823,83,869.4423217773438
2104,84,452.8580627441406
2441,84,196.88987731933594
2497,84,3537.60693359375
2750,84,827.0302734375
3810,84,134.72923278808594
306,85,2906.016845703125
914,85,157.0546417236328
1145,85,685.3484497070312
1636,85,819.7393798828125
3229,85,693.9759521484375
3233,85,329.6504211425781
1803,86,576.0072631835938
1970,86,1197.6068115234375
2155,86,2851.58837890625
3201,86,1289.9012451171875
993,87,1834.84326171875
1142,87,2190.5947265625
2111,87,601.576171875
2508,87,503.474853515625
17,88,1981.3570556640625
1484,88,947.7140502929688
1686,88,532.2610473632812
2825,88,248.14712524414062
294,89,1592.7132568359375
732,89,2195.833984375
1801,89,5220.27294921875
2634,89,491.36505126953125
344,90,5452.708984375
650,90,1059.8212890625
2010,90,933.3218994140625
2349,90,369.88519287109375
2529,90,803.3370361328125
2631,90,2759.771240234375
1168,91,2780.60009765625
